First Name,Last Name,Job Role,Department,Work Phone No,Work Mobile No,Internal Extension Number
Kidner,Giselle,Senior Community Fundraiser (South),Fundraising,,0771 717 5236,3077
Ghiron,Klarika,Volunteer Development Manager,Talent,01252 237818,,3078
Vischi,Kaylyn,Information and Support Officer,Services & Influencing,01252 237858,,3079
Jansky,Ophelie,Events Assistant,Fundraising,01252 237811,,3080
Senn,Malina,Director of Finance and Governance,Finance,01252 749042,,3081
Corneille,Arluene,Director of Digital Engagement and Communications,Marketing and Communications,01252 749992,,3082
Bowbrick,Aviva,Director of Services & Influencing,Services & Influencing,01252 237856,,3083
Widdecombe,Lurleen,Research Communications Officer,Research,01252 413160,,3084
Valenta,Alexandra,Gifts and In-Memory Officer,Fundraising,01252 237796,,3085
Awmack,Daisy,Research Engagement Manager,Research,01252 418193,,3086
Dayce,Ingeborg,Senior Information and Support Officer,Services & Influencing,01252 237852,,3087
Kinsey,Dorthea,Senior Appeal Advisor,Fundraising,01252 237869,,3088
Heavyside,Robbyn,Head of Policy & Public Affairs,Services & Influencing,01252 749047,,3089
Colegate,Feodora,Senior PR and Media Officer (Lifestyle),Marketing and Communications,01252 237828,07885 466 924,3090
Edgson,Herta,Marketing and Communications Manager,Marketing and Communications,01252  237839,,3091
Brantzen,Lisetta,"Head of Fundraising (Corporate, Trusts, Legacies and Major Donors)",Fundraising,01252 237799,,3092
Capner,Gilli,Head of Fundraising for The Lewis Moody Foundation,Fundraising,01252 237797,,3093
Worthy,Marcellina,Head of Fundraising (Challenges and Special Events),Fundraising,01252 237802,,3094
Bauldrey,Bennie,Community Fundraiser (South East),Fundraising,,07387 417 246,3095
Ashburne,Janine,Head of Strategy,Core,01252 413169,,3096
Neely,Jacquenette,Database and IT Officer,Development,01252 237822,,3097
Ellul,Harlene,Graphic Designer,Marketing and Communications,01252 237833,,3098
Fockes,Joycelin,Chief Scientific Officer,Research,01252 237798,,3099
Hubbucks,Dacia,Trusts and Foundations Officer,Fundraising,01252 237815,,3100
Etridge,Karola,Data Insight Analyst,Development,01252 237845,,3101
Langfitt,Nicky,Internal Communications Manager,Marketing and Communications,01252 237843,,3102
Arnely,Vale,Children and Families Assistant,Services & Influencing,01252 237841,,3103
Batchelar,Koren,Special Events Assistant,Fundraising,1252237806,,3104
Neillans,Hannie,Young Adults Service Manager,Services & Influencing,,0753 874 4143,3105
Miko,Lettie,Prospect Researcher Gifts and Partnerships,Fundraising,01252 413166,,3106
Horsburgh,Elbertina,Research Engagement Manager,Research,01252 749 044,,3107
Coulling,Bridgette,Head of Services,Services & Influencing,01252 237794,,3108
McBrearty,Adriane,Office Manager,Core,01252 237838,,3109
Woodhams,Megen,Head of Fundraising (Community Fundraising),Fundraising,01937 836076,07909 113 885,3110
Ironside,Merna,Director of Fundraising,Fundraising,01252 749049,07774 675 975,3111
Pescud,Roze,Challenge Events Intern,Fundraising,01252 237813,,3112
Carnegie,Evy,Services and Influencing Intern,Services & Influencing,01252 237852,,3113
Orbine,Farrah,Digital Marketing Officer,Marketing and Communications,01252 237816,,3114
Assender,Kamillah,Events Assistant,Fundraising,01252 413165,,3115
Gremane,Meryl,Talent Development Manager,Talent,01252 237836,,3116
Bleibaum,Sybilla,Regional Healthcare Engagement Manager (North),Services & Influencing,07710 709 440,07710 709 440,3117
Brompton,Gertrud,Policy & Public Affairs Assistant,Services & Influencing,01252 418192,,3118
Boadby,Else,Healthcare Engagement Programme Officer,Services & Influencing,01252 237853,,3119
Grestye,Andrea,CRM/IT Intern,Development,01252 237840,,3120
Sedge,Agatha,Finance Officer,Finance,01252 749040,,3121
Benaine,Rachael,Project Manager (Brain Tumour Data e-Registry),Research,01252 237849,,3122
Goning,Cass,Optical Engagement Manager,Services & Influencing,,07436 102436,3123
McShee,Edith,Community Fundraising Manager (South),Fundraising,,07961 253 774,3124
De Launde,Danya,Project Business Analyst (Brain Tumour Databank),Research,01252 237825,,3125
MacAree,Robinett,Digital Producer (Fundraising),Marketing and Communications,01252 237812,,3126
Frederick,Kaylil,Solution Architect and Technical Lead,Research,01252 237866,,3127
Labin,Brier,Senior Graphic Designer,Marketing and Communications,01252 237830,,3128
Hayle,Babette,Information and Support Officer,Services & Influencing,01252 237855,,3129
Rosewarne,Hanny,Supporter Groups Senior Officer,Fundraising,01252 418198,,3130
Oby,Una,Corporate Partnerships Manager,Fundraising,01252 237793,,3131
Favey,Katuscha,Community Fundraiser (Scotland),Fundraising,,07931 235936,3132
McCurrie,Coriss,Services and Influencing Intern,Services & Influencing,01252 237852,,3133
Charte,Jessa,Senior Gifts and In-Memory Officer,Fundraising,01252 237804,,3134
Pettersen,Daffi,Community Fundraiser (North West and Northern Ireland),Fundraising,,0788 546 6923,3135
Geldert,Norene,Supporter Services Officer,Development,01252 237824,,3136
Cristofor,Gabi,Challenge Events Assistant,Fundraising,01252 749045,,3137
McGeorge,Carmina,Policy Involvement Assistant,Services & Influencing,01252 418194,,3138
Wickey,Ermina,Research Grants Manager,Research,01252 237844,,3139
Tovey,Maribel,Special Events Manager,Fundraising,01252 413168,,3140
Guille,Aurea,Head of Talent,Talent,01252 237820,,3141
Carling,Aretha,Special Events Assistant,Fundraising,01252 418195,,3142
Crennell,Francine,Print Production and Online Shop Coordinator,Marketing and Communications,01252 237832,,3143
Brundrett,Lorelei,CRM Database Manager,Development,01252 237800,,3144
Petel,Carroll,Web Marketing Manager,Marketing and Communications,01252 237842,,3145
Boffey,Nance,Director of Development,Development,01252 237847,07414 276476,3146
De Bischof,Filia,Marketing Manager (Gifts in Wills),Fundraising,01252 237832,,3147
Senior,Mandie,Senior Graphic Designer,Marketing and Communications,01252 237831,,3148
Laffin,Christabella,Head of Finance,Finance,01252 749046,,3149
Lensch,Venus,Product Manager,Research,01252 237866,,3150
Mingaye,Jehanna,Research Grants Officer,Research,1252237846,,3151
Tremontana,Sherie,Video Producer,Marketing and Communications,01252 237827,,3152
Crinson,Licha,Information and Support Assistant,Support and Information,01252 413161,,3153
Iacovolo,Collette,Head of Digital and Transformation,Marketing and Communications,01252 413162,07507 483379,3154
Delos,Zuzana,Director of the Tessa Jowell Brain Cancer Mission,Core,,,3155
Constantinou,Josie,Systems Officer,Development,01252 237823,,3156
Rippon,Lenna,Senior PR & Media Officer,Marketing and Communications,01252 749991,,3157
MacGillivray,Gabbey,Head of PR and Media,Marketing and Communications,01252 418191,,3158
Sedgman,Daffy,Supporter Services Assistant,Development,01252 237814,,3159
Arnholtz,Yetty,Children and Families Services Manager,Services & Influencing,01252 237848,,3160
Lagen,Amara,Community Fundraiser (North East),Fundraising,,07720 096 603,3161
Learmont,Lacee,Head of Content and Creative,Marketing and Communications,01252 237826,,3162
Macvain,Happy,Senior Community Fundraiser (South),Fundraising,,0771 717 5236,3163
Fearnyhough,Darci,Senior Content Editor,Marketing and Communications,01252 418197,,3164
Meldon,Belvia,Social Media Manager,Marketing and Communications,01252 237807,07436 102436,3165
Copas,Gratiana,CEO,CEO,01252 237791,07507 483 464,3166
Lamb-shine,Shelia,Children and Families Worker (South),Services & Influencing,01252 237829,07507 483496,3167
Siney,Shawna,Challenge Events Manager,Fundraising,01252 237809,,3168
Kibblewhite,Maure,Copywriter,Marketing and Communications,01252 237821,,3169
Ervine,Thalia,Young Adults Worker,Services & Influencing,,07876 685404,3170
Pennycook,Haleigh,Talent Intern,Talent,01252 237857,,3171
Mauchline,Gabrila,Regional Healthcare Engagement Manager (South),Services & Influencing,1733566353,07736 892052,3172
Tanswill,Gayle,Community Fundraiser (Scotland),Fundraising,07961 256768,07961 256 768,3173
Mordaunt,Kally,PR and Media Officer,Marketing and Communications,01252 237834,,3174
Veregan,Loreen,Communications Officer,Marketing and Communications,01252 237865,,3175
Laming,Aidan,Community Fundraiser (mid-Counties),Fundraising,,07885 466 924,3176
Bullen,Virgina,Corporate Partnerships Officer,Fundraising,01252 237810,,3177
Syratt,Meade,Supporter Relations Officer,Fundraising,01252 237817,,3178
Beebis,Danice,Head of Engagement,Services & Influencing,01252 237856,,3179
Keers,Kakalina,Supporter Services Assistant,Development,01252 418196,,3180
Hartford,Fred,Project Business Analyst (Brain Tumour Databank),Research,01252 237854,,3181
Risborough,Avivah,Information and Support Officer,Services & Influencing,01252 749993,07387 417 245,3182
Iggulden,Stephenie,Information Development Officer,Services & Influencing,01252 749048,,3183
Le Strange,Queenie,Community Fundraising Manager (North),Fundraising,,07436 102 333,3184
Waldren,Olympe,Marketing Officer,Marketing and Communications,01252 413163,,3185
Muckloe,Mora,Finance Assistant,Finance,01252 749996,,3186
